Adjusted for Inflation Flag,Format,Format (copy),Metric,Year,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Value (Actual),Value (Actual) (copy),Year (copy)
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,1998,1998,,,1,,,1998
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,1999,1999,,,1,,,1999
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2000,2000,,,1,,,2000
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2001,2001,,,1,,,2001
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2002,2002,,,1,,,2002
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2003,2003,,,1,,,2003
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2004,2004,,,1,,,2004
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2005,2005,,$421.6M,1,421.6,$422M,2005
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2006,2006,,$773.8M,1,773.8,$774M,2006
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2007,2007,$1.1B,,1,1055.8,"$1,056M",2007
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2008,2008,,$977.1M,1,977.1,$977M,2008
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2009,2009,,$702.8M,1,702.8,$703M,2009
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2010,2010,,$448.0M,1,448,$448M,2010
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2011,2011,,$276.2M,1,276.2,$276M,2011
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2012,2012,,$146.0M,1,145.992935111,$146M,2012
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2013,2013,,$98.0M,1,97.999612333,$98M,2013
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2014,2014,,$66.3M,1,66.311370667,$66M,2014
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2015,2015,,$54.6M,1,54.582024222,$55M,2015
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2016,2016,,$56.3M,1,56.325299125,$56M,2016
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2017,2017,,$35.5M,1,35.513735653,$36M,2017
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2018,2018,,$25.0M,1,24.957859799,$25M,2018
,Ringtones & Ringbacks,Ringtones & Ringbacks,Value,2019,2019,,$21.4M,1,21.426736902,$21M,2019
,SACD,SACD,Value,1973,1973,,,1,,,1973
,SACD,SACD,Value,1974,1974,,,1,,,1974
,SACD,SACD,Value,1975,1975,,,1,,,1975
,SACD,SACD,Value,1976,1976,,,1,,,1976
,SACD,SACD,Value,1977,1977,,,1,,,1977
,SACD,SACD,Value,1978,1978,,,1,,,1978
,SACD,SACD,Value,1979,1979,,,1,,,1979
,SACD,SACD,Value,1980,1980,,,1,,,1980
,SACD,SACD,Value,1981,1981,,,1,,,1981
,SACD,SACD,Value,1982,1982,,,1,,,1982
,SACD,SACD,Value,1983,1983,,,1,,,1983
,SACD,SACD,Value,1984,1984,,,1,,,1984
,SACD,SACD,Value,1985,1985,,,1,,,1985
,SACD,SACD,Value,1986,1986,,,1,,,1986
,SACD,SACD,Value,1987,1987,,,1,,,1987
,SACD,SACD,Value,1988,1988,,,1,,,1988
,SACD,SACD,Value,1989,1989,,,1,,,1989
,SACD,SACD,Value,1990,1990,,,1,,,1990
,SACD,SACD,Value,1991,1991,,,1,,,1991
,SACD,SACD,Value,1992,1992,,,1,,,1992
,SACD,SACD,Value,1993,1993,,,1,,,1993
,SACD,SACD,Value,1994,1994,,,1,,,1994
,SACD,SACD,Value,1995,1995,,,1,,,1995
,SACD,SACD,Value,1996,1996,,,1,,,1996
,SACD,SACD,Value,1997,1997,,,1,,,1997
,SACD,SACD,Value,1998,1998,,,1,,,1998
,SACD,SACD,Value,1999,1999,,,1,,,1999
,SACD,SACD,Value,2000,2000,,,1,,,2000
,SACD,SACD,Value,2001,2001,,,1,,,2001
,SACD,SACD,Value,2002,2002,,,1,,,2002
,SACD,SACD,Value,2003,2003,,$26.3M,1,26.3,$26M,2003
,SACD,SACD,Value,2004,2004,,$16.6M,1,16.6,$17M,2004
,SACD,SACD,Value,2005,2005,,$10.0M,1,10,$10M,2005
,SACD,SACD,Value,2006,2006,,$5.5M,1,5.5,$6M,2006
,SACD,SACD,Value,2007,2007,,$3.6M,1,3.6,$4M,2007
,SACD,SACD,Value,2008,2008,,$3.1M,1,3.1,$3M,2008
,SACD,SACD,Value,2009,2009,,$2.4M,1,2.4,$2M,2009
,SACD,SACD,Value,2010,2010,,$1.7M,1,1.7,$2M,2010
,SACD,SACD,Value,2011,2011,,$1.5M,1,1.5,$2M,2011
,SACD,SACD,Value,2012,2012,,$1.3M,1,1.3425,$1M,2012
,SACD,SACD,Value,2013,2013,,$1.0M,1,0.9783826,$1M,2013
,SACD,SACD,Value,2014,2014,,$0.8M,1,0.76344539,$1M,2014
,SACD,SACD,Value,2015,2015,,$1.0M,1,1.04346656,$1M,2015
,SACD,SACD,Value,2016,2016,,$1.2M,1,1.20686148,$1M,2016
,SACD,SACD,Value,2017,2017,,$0.9M,1,0.85057856,$1M,2017
,SACD,SACD,Value,2018,2018,,$0.9M,1,0.85969971,$1M,2018
,SACD,SACD,Value,2019,2019,,$0.4M,1,0.433302292,$0M,2019
,SoundExchange Distributions,SoundExchange Distributions,Value,1973,1973,,,1,,,1973
,SoundExchange Distributions,SoundExchange Distributions,Value,1974,1974,,,1,,,1974
,SoundExchange Distributions,SoundExchange Distributions,Value,1975,1975,,,1,,,1975
,SoundExchange Distributions,SoundExchange Distributions,Value,1976,1976,,,1,,,1976
,SoundExchange Distributions,SoundExchange Distributions,Value,1977,1977,,,1,,,1977
,SoundExchange Distributions,SoundExchange Distributions,Value,1978,1978,,,1,,,1978
,SoundExchange Distributions,SoundExchange Distributions,Value,1979,1979,,,1,,,1979
,SoundExchange Distributions,SoundExchange Distributions,Value,1980,1980,,,1,,,1980
,SoundExchange Distributions,SoundExchange Distributions,Value,1981,1981,,,1,,,1981
,SoundExchange Distributions,SoundExchange Distributions,Value,1982,1982,,,1,,,1982
,SoundExchange Distributions,SoundExchange Distributions,Value,1983,1983,,,1,,,1983
,SoundExchange Distributions,SoundExchange Distributions,Value,1984,1984,,,1,,,1984
,SoundExchange Distributions,SoundExchange Distributions,Value,1985,1985,,,1,,,1985
,SoundExchange Distributions,SoundExchange Distributions,Value,1986,1986,,,1,,,1986
,SoundExchange Distributions,SoundExchange Distributions,Value,1987,1987,,,1,,,1987
,SoundExchange Distributions,SoundExchange Distributions,Value,1988,1988,,,1,,,1988
,SoundExchange Distributions,SoundExchange Distributions,Value,1989,1989,,,1,,,1989
,SoundExchange Distributions,SoundExchange Distributions,Value,1990,1990,,,1,,,1990
,SoundExchange Distributions,SoundExchange Distributions,Value,1991,1991,,,1,,,1991
,SoundExchange Distributions,SoundExchange Distributions,Value,1992,1992,,,1,,,1992
,SoundExchange Distributions,SoundExchange Distributions,Value,1993,1993,,,1,,,1993
,SoundExchange Distributions,SoundExchange Distributions,Value,1994,1994,,,1,,,1994
,SoundExchange Distributions,SoundExchange Distributions,Value,1995,1995,,,1,,,1995
,SoundExchange Distributions,SoundExchange Distributions,Value,1996,1996,,,1,,,1996
,SoundExchange Distributions,SoundExchange Distributions,Value,1997,1997,,,1,,,1997
,SoundExchange Distributions,SoundExchange Distributions,Value,1998,1998,,,1,,,1998
,SoundExchange Distributions,SoundExchange Distributions,Value,1999,1999,,,1,,,1999
,SoundExchange Distributions,SoundExchange Distributions,Value,2000,2000,,,1,,,2000
,SoundExchange Distributions,SoundExchange Distributions,Value,2001,2001,,,1,,,2001
,SoundExchange Distributions,SoundExchange Distributions,Value,2002,2002,,,1,,,2002
,SoundExchange Distributions,SoundExchange Distributions,Value,2003,2003,,,1,,,2003
,SoundExchange Distributions,SoundExchange Distributions,Value,2004,2004,,$6.9M,1,6.9,$7M,2004
,SoundExchange Distributions,SoundExchange Distributions,Value,2005,2005,,$20.4M,1,20.4,$20M,2005
,SoundExchange Distributions,SoundExchange Distributions,Value,2006,2006,,$32.8M,1,32.8,$33M,2006
,SoundExchange Distributions,SoundExchange Distributions,Value,2007,2007,,$36.2M,1,36.2,$36M,2007
,SoundExchange Distributions,SoundExchange Distributions,Value,2008,2008,,$100.0M,1,100,$100M,2008
,SoundExchange Distributions,SoundExchange Distributions,Value,2009,2009,,$155.5M,1,155.5,$156M,2009
,SoundExchange Distributions,SoundExchange Distributions,Value,2010,2010,,$249.2M,1,249.2,$249M,2010
,SoundExchange Distributions,SoundExchange Distributions,Value,2011,2011,,$292.0M,1,292,$292M,2011
,SoundExchange Distributions,SoundExchange Distributions,Value,2012,2012,,$462.0M,1,462,$462M,2012
,SoundExchange Distributions,SoundExchange Distributions,Value,2013,2013,,$590.4M,1,590.4,$590M,2013
,SoundExchange Distributions,SoundExchange Distributions,Value,2014,2014,,$773.4M,1,773.4,$773M,2014
,SoundExchange Distributions,SoundExchange Distributions,Value,2015,2015,,$802.6M,1,802.6,$803M,2015
,SoundExchange Distributions,SoundExchange Distributions,Value,2016,2016,,$883.9M,1,883.9,$884M,2016
,SoundExchange Distributions,SoundExchange Distributions,Value,2017,2017,,$652.0M,1,652,$652M,2017
,SoundExchange Distributions,SoundExchange Distributions,Value,2018,2018,,$952.8M,1,952.8,$953M,2018
,SoundExchange Distributions,SoundExchange Distributions,Value,2019,2019,,$908.2M,1,908.2,$908M,2019
,Synchronization,Synchronization,Value,1973,1973,,,1,,,1973
,Synchronization,Synchronization,Value,1974,1974,,,1,,,1974
,Synchronization,Synchronization,Value,1975,1975,,,1,,,1975
,Synchronization,Synchronization,Value,1976,1976,,,1,,,1976
,Synchronization,Synchronization,Value,1977,1977,,,1,,,1977
,Synchronization,Synchronization,Value,1978,1978,,,1,,,1978
,Synchronization,Synchronization,Value,1979,1979,,,1,,,1979
,Synchronization,Synchronization,Value,1980,1980,,,1,,,1980
,Synchronization,Synchronization,Value,1981,1981,,,1,,,1981
,Synchronization,Synchronization,Value,1982,1982,,,1,,,1982
,Synchronization,Synchronization,Value,1983,1983,,,1,,,1983
,Synchronization,Synchronization,Value,1984,1984,,,1,,,1984
,Synchronization,Synchronization,Value,1985,1985,,,1,,,1985
,Synchronization,Synchronization,Value,1986,1986,,,1,,,1986
,Synchronization,Synchronization,Value,1987,1987,,,1,,,1987
,Synchronization,Synchronization,Value,1988,1988,,,1,,,1988
,Synchronization,Synchronization,Value,1989,1989,,,1,,,1989
,Synchronization,Synchronization,Value,1990,1990,,,1,,,1990
,Synchronization,Synchronization,Value,1991,1991,,,1,,,1991
,Synchronization,Synchronization,Value,1992,1992,,,1,,,1992
,Synchronization,Synchronization,Value,1993,1993,,,1,,,1993
,Synchronization,Synchronization,Value,1994,1994,,,1,,,1994
,Synchronization,Synchronization,Value,1995,1995,,,1,,,1995
,Synchronization,Synchronization,Value,1996,1996,,,1,,,1996
,Synchronization,Synchronization,Value,1997,1997,,,1,,,1997
,Synchronization,Synchronization,Value,1998,1998,,,1,,,1998
,Synchronization,Synchronization,Value,1999,1999,,,1,,,1999
,Synchronization,Synchronization,Value,2000,2000,,,1,,,2000
,Synchronization,Synchronization,Value,2001,2001,,,1,,,2001
,Synchronization,Synchronization,Value,2002,2002,,,1,,,2002
,Synchronization,Synchronization,Value,2003,2003,,,1,,,2003
,Synchronization,Synchronization,Value,2004,2004,,,1,,,2004
,Synchronization,Synchronization,Value,2005,2005,,,1,,,2005
,Synchronization,Synchronization,Value,2006,2006,,,1,,,2006
,Synchronization,Synchronization,Value,2007,2007,,,1,,,2007
,Synchronization,Synchronization,Value,2008,2008,,,1,,,2008
,Synchronization,Synchronization,Value,2009,2009,,$201.2M,1,201.2,$201M,2009
,Synchronization,Synchronization,Value,2010,2010,,$188.7M,1,188.7,$189M,2010
,Synchronization,Synchronization,Value,2011,2011,,$196.5M,1,196.5,$197M,2011
,Synchronization,Synchronization,Value,2012,2012,,$190.6M,1,190.597753,$191M,2012
,Synchronization,Synchronization,Value,2013,2013,,$189.7M,1,189.679434,$190M,2013
,Synchronization,Synchronization,Value,2014,2014,,$189.7M,1,189.713099,$190M,2014
,Synchronization,Synchronization,Value,2015,2015,,$202.9M,1,202.934888,$203M,2015
,Synchronization,Synchronization,Value,2016,2016,,$214.8M,1,214.83897654,$215M,2016
,Synchronization,Synchronization,Value,2017,2017,,$232.1M,1,232.086522899,$232M,2017
,Synchronization,Synchronization,Value,2018,2018,,$285.5M,1,285.51349134,$286M,2018
,Synchronization,Synchronization,Value,2019,2019,,$276.3M,1,276.262360199,$276M,2019
,Vinyl Single,Vinyl Single,Value,1973,1973,,$190.0M,1,190,$190M,1973
,Vinyl Single,Vinyl Single,Value,1974,1974,,$194.0M,1,194,$194M,1974
,Vinyl Single,Vinyl Single,Value,1975,1975,,$211.5M,1,211.5,$212M,1975
,Vinyl Single,Vinyl Single,Value,1976,1976,,$245.1M,1,245.1,$245M,1976
,Vinyl Single,Vinyl Single,Value,1977,1977,,$245.1M,1,245.1,$245M,1977
,Vinyl Single,Vinyl Single,Value,1978,1978,,$260.3M,1,260.3,$260M,1978
,Vinyl Single,Vinyl Single,Value,1979,1979,,$353.6M,1,353.6,$354M,1979
,Vinyl Single,Vinyl Single,Value,1980,1980,,$250.0M,1,250,$250M,1980
,Vinyl Single,Vinyl Single,Value,1981,1981,,$256.4M,1,256.4,$256M,1981
,Vinyl Single,Vinyl Single,Value,1982,1982,,$283.0M,1,283,$283M,1982
,Vinyl Single,Vinyl Single,Value,1983,1983,,$269.3M,1,269.3,$269M,1983
,Vinyl Single,Vinyl Single,Value,1984,1984,,$298.7M,1,298.7,$299M,1984
,Vinyl Single,Vinyl Single,Value,1985,1985,,$281.0M,1,281,$281M,1985
,Vinyl Single,Vinyl Single,Value,1986,1986,,$228.1M,1,228.1,$228M,1986
,Vinyl Single,Vinyl Single,Value,1987,1987,,$203.3M,1,203.3,$203M,1987
,Vinyl Single,Vinyl Single,Value,1988,1988,,$180.4M,1,180.4,$180M,1988
,Vinyl Single,Vinyl Single,Value,1989,1989,,$116.4M,1,116.4,$116M,1989
,Vinyl Single,Vinyl Single,Value,1990,1990,,$94.4M,1,94.4,$94M,1990
,Vinyl Single,Vinyl Single,Value,1991,1991,,$63.9M,1,63.9,$64M,1991
,Vinyl Single,Vinyl Single,Value,1992,1992,,$66.4M,1,66.4,$66M,1992
,Vinyl Single,Vinyl Single,Value,1993,1993,,$51.2M,1,51.2,$51M,1993
,Vinyl Single,Vinyl Single,Value,1994,1994,,$47.2M,1,47.2,$47M,1994
,Vinyl Single,Vinyl Single,Value,1995,1995,,$46.7M,1,46.7,$47M,1995
,Vinyl Single,Vinyl Single,Value,1996,1996,,$47.5M,1,47.5,$48M,1996
,Vinyl Single,Vinyl Single,Value,1997,1997,,$35.6M,1,35.6,$36M,1997
,Vinyl Single,Vinyl Single,Value,1998,1998,,$25.7M,1,25.7,$26M,1998
,Vinyl Single,Vinyl Single,Value,1999,1999,,$27.9M,1,27.9,$28M,1999
,Vinyl Single,Vinyl Single,Value,2000,2000,,$26.3M,1,26.3,$26M,2000
,Vinyl Single,Vinyl Single,Value,2001,2001,,$31.4M,1,31.4,$31M,2001
,Vinyl Single,Vinyl Single,Value,2002,2002,,$24.9M,1,24.9,$25M,2002
,Vinyl Single,Vinyl Single,Value,2003,2003,,$21.5M,1,21.5,$22M,2003
,Vinyl Single,Vinyl Single,Value,2004,2004,,$19.9M,1,19.9,$20M,2004
,Vinyl Single,Vinyl Single,Value,2005,2005,,$13.2M,1,13.2,$13M,2005
,Vinyl Single,Vinyl Single,Value,2006,2006,,$9.9M,1,9.9,$10M,2006
,Vinyl Single,Vinyl Single,Value,2007,2007,,$4.0M,1,4,$4M,2007
,Vinyl Single,Vinyl Single,Value,2008,2008,,$2.9M,1,2.9,$3M,2008
,Vinyl Single,Vinyl Single,Value,2009,2009,,$2.5M,1,2.5,$3M,2009
,Vinyl Single,Vinyl Single,Value,2010,2010,,$2.3M,1,2.3,$2M,2010
,Vinyl Single,Vinyl Single,Value,2011,2011,,$4.6M,1,4.6,$5M,2011
,Vinyl Single,Vinyl Single,Value,2012,2012,,$4.7M,1,4.743055893,$5M,2012
,Vinyl Single,Vinyl Single,Value,2013,2013,,$3.0M,1,2.978937179,$3M,2013
,Vinyl Single,Vinyl Single,Value,2014,2014,,$5.5M,1,5.49935429,$5M,2014
,Vinyl Single,Vinyl Single,Value,2015,2015,,$5.8M,1,5.752954082,$6M,2015
,Vinyl Single,Vinyl Single,Value,2016,2016,,$4.9M,1,4.880679689,$5M,2016
,Vinyl Single,Vinyl Single,Value,2017,2017,,$6.1M,1,6.07838535,$6M,2017
,Vinyl Single,Vinyl Single,Value,2018,2018,,$5.3M,1,5.290337079,$5M,2018
,Vinyl Single,Vinyl Single,Value,2019,2019,,$6.8M,1,6.795945687,$7M,2019
,8 - Track,8 - Track,Value (Adjusted),1973,1973,$2.8B,,1,2815.681824324,"$2,816M",1973
,8 - Track,8 - Track,Value (Adjusted),1974,1974,$2.8B,,1,2848.008608519,"$2,848M",1974
,8 - Track,8 - Track,Value (Adjusted),1975,1975,$2.8B,,1,2770.409498141,"$2,770M",1975
,8 - Track,8 - Track,Value (Adjusted),1976,1976,$3.0B,,1,3047.215771529,"$3,047M",1976
,8 - Track,8 - Track,Value (Adjusted),1977,1977,$3.4B,,1,3421.416287129,"$3,421M",1977
,8 - Track,8 - Track,Value (Adjusted),1978,1978,$3.7B,,1,3717.221411043,"$3,717M",1978
,8 - Track,8 - Track,Value (Adjusted),1979,1979,$2.4B,,1,2409.725690083,"$2,410M",1979
,8 - Track,8 - Track,Value (Adjusted),1980,1980,$1.6B,,1,1635.087851942,"$1,635M",1980
,8 - Track,8 - Track,Value (Adjusted),1981,1981,,$880.3M,1,880.315082508,$880M,1981
,8 - Track,8 - Track,Value (Adjusted),1982,1982,,$95.4M,1,95.374632124,$95M,1982
,8 - Track,8 - Track,Value (Adjusted),1983,1983,,,1,,,1983
,8 - Track,8 - Track,Value (Adjusted),1984,1984,,,1,,,1984
,8 - Track,8 - Track,Value (Adjusted),1985,1985,,,1,,,1985
,8 - Track,8 - Track,Value (Adjusted),1986,1986,,,1,,,1986
,8 - Track,8 - Track,Value (Adjusted),1987,1987,,,1,,,1987
,8 - Track,8 - Track,Value (Adjusted),1988,1988,,,1,,,1988
,8 - Track,8 - Track,Value (Adjusted),1989,1989,,,1,,,1989
,8 - Track,8 - Track,Value (Adjusted),1990,1990,,,1,,,1990
,8 - Track,8 - Track,Value (Adjusted),1991,1991,,,1,,,1991
,8 - Track,8 - Track,Value (Adjusted),1992,1992,,,1,,,1992
,8 - Track,8 - Track,Value (Adjusted),1993,1993,,,1,,,1993
,8 - Track,8 - Track,Value (Adjusted),1994,1994,,,1,,,1994
,8 - Track,8 - Track,Value (Adjusted),1995,1995,,,1,,,1995
,8 - Track,8 - Track,Value (Adjusted),1996,1996,,,1,,,1996
,8 - Track,8 - Track,Value (Adjusted),1997,1997,,,1,,,1997
,8 - Track,8 - Track,Value (Adjusted),1998,1998,,,1,,,1998
,8 - Track,8 - Track,Value (Adjusted),1999,1999,,,1,,,1999
,8 - Track,8 - Track,Value (Adjusted),2000,2000,,,1,,,2000
,8 - Track,8 - Track,Value (Adjusted),2001,2001,,,1,,,2001
,8 - Track,8 - Track,Value (Adjusted),2002,2002,,,1,,,2002
,8 - Track,8 - Track,Value (Adjusted),2003,2003,,,1,,,2003
,8 - Track,8 - Track,Value (Adjusted),2004,2004,,,1,,,2004
,8 - Track,8 - Track,Value (Adjusted),2005,2005,,,1,,,2005
,8 - Track,8 - Track,Value (Adjusted),2006,2006,,,1,,,2006
,8 - Track,8 - Track,Value (Adjusted),2007,2007,,,1,,,2007
,8 - Track,8 - Track,Value (Adjusted),2008,2008,,,1,,,2008
,8 - Track,8 - Track,Value (Adjusted),2009,2009,,,1,,,2009
,8 - Track,8 - Track,Value (Adjusted),2010,2010,,,1,,,2010
,8 - Track,8 - Track,Value (Adjusted),2011,2011,,,1,,,2011
,8 - Track,8 - Track,Value (Adjusted),2012,2012,,,1,,,2012
,8 - Track,8 - Track,Value (Adjusted),2013,2013,,,1,,,2013
,8 - Track,8 - Track,Value (Adjusted),2014,2014,,,1,,,2014
,8 - Track,8 - Track,Value (Adjusted),2015,2015,,,1,,,2015
,8 - Track,8 - Track,Value (Adjusted),2016,2016,,,1,,,2016
,8 - Track,8 - Track,Value (Adjusted),2017,2017,,,1,,,2017
,8 - Track,8 - Track,Value (Adjusted),2018,2018,,,1,,,2018
,8 - Track,8 - Track,Value (Adjusted),2019,2019,,,1,,,2019
,CD,CD,Value (Adjusted),1973,1973,,,1,,,1973
,CD,CD,Value (Adjusted),1974,1974,,,1,,,1974
,CD,CD,Value (Adjusted),1975,1975,,,1,,,1975
,CD,CD,Value (Adjusted),1976,1976,,,1,,,1976
,CD,CD,Value (Adjusted),1977,1977,,,1,,,1977
,CD,CD,Value (Adjusted),1978,1978,,,1,,,1978
,CD,CD,Value (Adjusted),1979,1979,,,1,,,1979
,CD,CD,Value (Adjusted),1980,1980,,,1,,,1980
,CD,CD,Value (Adjusted),1981,1981,,,1,,,1981
,CD,CD,Value (Adjusted),1982,1982,,,1,,,1982
,CD,CD,Value (Adjusted),1983,1983,,$44.1M,1,44.14960241,$44M,1983
,CD,CD,Value (Adjusted),1984,1984,,$254.2M,1,254.180636189,$254M,1984
,CD,CD,Value (Adjusted),1985,1985,,$925.4M,1,925.449828067,$925M,1985
,CD,CD,Value (Adjusted),1986,1986,$2.2B,,1,2169.585544708,"$2,170M",1986
,CD,CD,Value (Adjusted),1987,1987,$3.6B,,1,3586.399605634,"$3,586M",1987
,CD,CD,Value (Adjusted),1988,1988,$4.5B,,1,4516.462927303,"$4,516M",1988
,CD,CD,Value (Adjusted),1989,1989,$5.3B,,1,5335.190475,"$5,335M",1989
,CD,CD,Value (Adjusted),1990,1990,$6.8B,,1,6751.53558684,"$6,752M",1990
,CD,CD,Value (Adjusted),1991,1991,$8.1B,,1,8142.168640969,"$8,142M",1991
,CD,CD,Value (Adjusted),1992,1992,$9.7B,,1,9706.037138275,"$9,706M",1992
,CD,CD,Value (Adjusted),1993,1993,$11.5B,,1,11520.311348097,"$11,520M",1993
,CD,CD,Value (Adjusted),1994,1994,$14.6B,,1,14601.947884615,"$14,602M",1994
,CD,CD,Value (Adjusted),1995,1995,$15.7B,,1,15730.957688976,"$15,731M",1995
,CD,CD,Value (Adjusted),1996,1996,$16.2B,,1,16187.862319312,"$16,188M",1996
,CD,CD,Value (Adjusted),1997,1997,$15.8B,,1,15793.549661682,"$15,794M",1997
,CD,CD,Value (Adjusted),1998,1998,$17.9B,,1,17905.400687117,"$17,905M",1998
,CD,CD,Value (Adjusted),1999,1999,$19.7B,,1,19667.327785714,"$19,667M",1999
,CD,CD,Value (Adjusted),2000,2000,$19.6B,,1,19618.928144599,"$19,619M",2000
,CD,CD,Value (Adjusted),2001,2001,$18.6B,,1,18635.67744664,"$18,636M",2001
,CD,CD,Value (Adjusted),2002,2002,$17.1B,,1,17115.944823235,"$17,116M",2002
,CD,CD,Value (Adjusted),2003,2003,$15.6B,,1,15607.443017935,"$15,607M",2003
,CD,CD,Value (Adjusted),2004,2004,$15.5B,,1,15491.677345156,"$15,492M",2004
,CD,CD,Value (Adjusted),2005,2005,$13.8B,,1,13771.442761905,"$13,771M",2005
,CD,CD,Value (Adjusted),2006,2006,$11.9B,,1,11885.767848214,"$11,886M",2006
,CD,CD,Value (Adjusted),2007,2007,$9.2B,,1,9190.702658466,"$9,191M",2007
,CD,CD,Value (Adjusted),2008,2008,$6.5B,,1,6496.779627316,"$6,497M",2008
,CD,CD,Value (Adjusted),2009,2009,$5.1B,,1,5146.578220074,"$5,147M",2009
,CD,CD,Value (Adjusted),2010,2010,$4.0B,,1,3973.859172873,"$3,974M",2010
,CD,CD,Value (Adjusted),2011,2011,$3.5B,,1,3524.136143132,"$3,524M",2011
,CD,CD,Value (Adjusted),2012,2012,$2.8B,,1,2767.776148872,"$2,768M",2012
,CD,CD,Value (Adjusted),2013,2013,$2.3B,,1,2349.534897314,"$2,350M",2013
,CD,CD,Value (Adjusted),2014,2014,$1.9B,,1,1918.215114615,"$1,918M",2014
,CD,CD,Value (Adjusted),2015,2015,$1.6B,,1,1558.633451938,"$1,559M",2015
,CD,CD,Value (Adjusted),2016,2016,$1.2B,,1,1204.497778348,"$1,204M",2016
,CD,CD,Value (Adjusted),2017,2017,$1.1B,,1,1102.77435245,"$1,103M",2017
,CD,CD,Value (Adjusted),2018,2018,,$711.0M,1,711.041239463,$711M,2018
,CD,CD,Value (Adjusted),2019,2019,,$614.5M,1,614.509779894,$615M,2019
,CD Single,CD Single,Value (Adjusted),1973,1973,,,1,,,1973
,CD Single,CD Single,Value (Adjusted),1974,1974,,,1,,,1974
,CD Single,CD Single,Value (Adjusted),1975,1975,,,1,,,1975
,CD Single,CD Single,Value (Adjusted),1976,1976,,,1,,,1976
,CD Single,CD Single,Value (Adjusted),1977,1977,,,1,,,1977
,CD Single,CD Single,Value (Adjusted),1978,1978,,,1,,,1978
,CD Single,CD Single,Value (Adjusted),1979,1979,,,1,,,1979
,CD Single,CD Single,Value (Adjusted),1980,1980,,,1,,,1980
,CD Single,CD Single,Value (Adjusted),1981,1981,,,1,,,1981
,CD Single,CD Single,Value (Adjusted),1982,1982,,,1,,,1982
,CD Single,CD Single,Value (Adjusted),1983,1983,,,1,,,1983
,CD Single,CD Single,Value (Adjusted),1984,1984,,,1,,,1984
,CD Single,CD Single,Value (Adjusted),1985,1985,,,1,,,1985
,CD Single,CD Single,Value (Adjusted),1986,1986,,,1,,,1986
,CD Single,CD Single,Value (Adjusted),1987,1987,,,1,,,1987
,CD Single,CD Single,Value (Adjusted),1988,1988,,$21.2M,1,21.178686391,$21M,1988
,CD Single,CD Single,Value (Adjusted),1989,1989,,-$1.4M,1,-1.443225,($1M),1989
,CD Single,CD Single,Value (Adjusted),1990,1990,,$11.7M,1,11.736358072,$12M,1990
,CD Single,CD Single,Value (Adjusted),1991,1991,,$65.9M,1,65.885174009,$66M,1991
,CD Single,CD Single,Value (Adjusted),1992,1992,,$82.2M,1,82.181972202,$82M,1992
,CD Single,CD Single,Value (Adjusted),1993,1993,,$81.0M,1,81.031768858,$81M,1993
,CD Single,CD Single,Value (Adjusted),1994,1994,,$96.8M,1,96.77704251,$97M,1994
,CD Single,CD Single,Value (Adjusted),1995,1995,,$186.0M,1,186.039116142,$186M,1995
,CD Single,CD Single,Value (Adjusted),1996,1996,,$300.0M,1,299.977397706,$300M,1996
,CD Single,CD Single,Value (Adjusted),1997,1997,,$434.4M,1,434.377968224,$434M,1997
,CD Single,CD Single,Value (Adjusted),1998,1998,,$334.4M,1,334.393082209,$334M,1998
,CD Single,CD Single,Value (Adjusted),1999,1999,,$341.3M,1,341.285214886,$341M,1999
,CD Single,CD Single,Value (Adjusted),2000,2000,,$211.9M,1,211.859778746,$212M,2000
,CD Single,CD Single,Value (Adjusted),2001,2001,,$114.6M,1,114.619795596,$115M,2001
,CD Single,CD Single,Value (Adjusted),2002,2002,,$27.9M,1,27.853680934,$28M,2002
,CD Single,CD Single,Value (Adjusted),2003,2003,,$50.0M,1,50.019847826,$50M,2003
,CD Single,CD Single,Value (Adjusted),2004,2004,,$20.3M,1,20.300979354,$20M,2004
,CD Single,CD Single,Value (Adjusted),2005,2005,,$14.3M,1,14.268619048,$14M,2005
,CD Single,CD Single,Value (Adjusted),2006,2006,,$9.8M,1,9.764677083,$10M,2006
