Year of Year Date,Format,Format (copy),Metric,Value (Actual),Adjusted for Inflation Flag,Year,Year Date,% of Total Volume,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual) (copy),Year (copy)
2000,CD,CD,Units,942.5,,2000,2000,87.3%,,$942.5M,1.1B,,$1079.2B,$943M,2000
2001,CD,CD,Units,881.9,,2001,2001,91.1%,,$881.9M,,$968.5M,$968.5B,$882M,2001
2002,CD,CD,Units,803.3,,2002,2002,93.4%,,$803.3M,,$859.7M,$859.7B,$803M,2002
2003,CD,CD,Units,746,,2003,2003,93.4%,,$746.0M,,$798.4M,$798.4B,$746M,2003
2004,CD,CD,Units,767,,2004,2004,80.1%,,$767.0M,,$958.1M,$958.1B,$767M,2004
2005,CD,CD,Units,705.4,,2005,2005,54.2%,,$705.4M,1.3B,,$1301.9B,$705M,2005
2006,CD,CD,Units,619.7,,2006,2006,39.0%,,$619.7M,1.6B,,$1588.4B,$620M,2006
2007,CD,CD,Units,499.7,,2007,2007,27.0%,,$499.7M,1.9B,,$1851.5B,$500M,2007
2008,CD,CD,Units,368.4,,2008,2008,19.2%,,$368.4M,1.9B,,$1919.6B,$368M,2008
2009,CD,CD,Units,296.6,,2009,2009,16.2%,,$296.6M,1.8B,,$1828.5B,$297M,2009
2010,CD,CD,Units,253,,2010,2010,14.5%,,$253.0M,1.7B,,$1739.5B,$253M,2010
2011,CD,CD,Units,240.8,,2011,2011,13.2%,,$240.8M,1.8B,,$1825.0B,$241M,2011
2012,CD,CD,Units,198.164387234,,2012,2012,11.0%,,$198.2M,1.8B,,$1803.3B,$198M,2012
2013,CD,CD,Units,173.793302906,,2013,2013,10.3%,,$173.8M,1.7B,,$1691.2B,$174M,2013
2014,CD,CD,Units,138.702363357,,2014,2014,9.5%,,$138.7M,1.5B,,$1458.2B,$139M,2014
2015,CD,CD,Units,117.144051764,,2015,2015,9.3%,,$117.1M,1.3B,,$1255.5B,$117M,2015
2016,CD,CD,Units,97.577071197,,2016,2016,10.1%,,$97.6M,,$970.1M,$970.1B,$98M,2016
2017,CD,CD,Units,87.682499971,,2017,2017,11.8%,,$87.7M,,$742.6M,$742.6B,$88M,2017
2018,CD,CD,Units,51.954275644,,2018,2018,9.8%,,$52.0M,,$532.3M,$532.3B,$52M,2018
2019,CD,CD,Units,46.506495584,,2019,2019,10.3%,,$46.5M,,$453.3M,$453.3B,$47M,2019
2000,CD Single,CD Single,Units,34.2,,2000,2000,3.2%,,$34.2M,1.1B,,$1079.2B,$34M,2000
2001,CD Single,CD Single,Units,17.3,,2001,2001,1.8%,,$17.3M,,$968.5M,$968.5B,$17M,2001
2002,CD Single,CD Single,Units,4.5,,2002,2002,0.5%,,$4.5M,,$859.7M,$859.7B,$5M,2002
2003,CD Single,CD Single,Units,8.3,,2003,2003,1.0%,,$8.3M,,$798.4M,$798.4B,$8M,2003
2004,CD Single,CD Single,Units,3.1,,2004,2004,0.3%,,$3.1M,,$958.1M,$958.1B,$3M,2004
2005,CD Single,CD Single,Units,2.8,,2005,2005,0.2%,,$2.8M,1.3B,,$1301.9B,$3M,2005
2006,CD Single,CD Single,Units,1.7,,2006,2006,0.1%,,$1.7M,1.6B,,$1588.4B,$2M,2006
2007,CD Single,CD Single,Units,2.6,,2007,2007,0.1%,,$2.6M,1.9B,,$1851.5B,$3M,2007
2008,CD Single,CD Single,Units,0.7,,2008,2008,0.0%,,$0.7M,1.9B,,$1919.6B,$1M,2008
2009,CD Single,CD Single,Units,0.9,,2009,2009,0.0%,,$0.9M,1.8B,,$1828.5B,$1M,2009
